,N,P,K,temperature,humidity,ph,rainfall,label,Cluster
91,73,53,45,23.835094,83.88387,7.4731345,241.20135,rice,Cluster 3
92,90,59,37,26.528728,80.12267,6.158377,218.91635,rice,Cluster 3
93,90,53,38,26.464283,83.85643,7.549874,248.22565,rice,Cluster 3
94,86,53,35,22.696577,82.81089,6.0283217,256.9965,rice,Cluster 3
95,95,39,45,22.683191,83.463585,6.6049933,194.26517,rice,Cluster 3
96,64,57,45,21.533463,82.14004,6.5003433,295.92487,rice,Cluster 3
97,100,46,39,21.408657,83.32932,5.9357452,287.5767,rice,Cluster 3
98,98,56,40,26.54348,84.67354,7.0726557,183.62227,rice,Cluster 3
99,74,52,38,23.359055,83.59512,5.3333225,188.41367,rice,Cluster 3
100,86,53,23,22.6136,63.690704,5.7499146,87.75954,maize,Cluster 0
101,84,47,21,26.100183,71.57477,6.9317565,102.26624,maize,Cluster 0
102,62,60,21,23.55882,71.59351,6.6579647,66.719955,maize,Cluster 0
103,96,43,20,19.97216,57.682728,6.5960608,60.651714,maize,Cluster 0
104,76,52,24,18.478912,62.695038,5.9704585,65.438354,maize,Cluster 0
105,85,50,17,21.776894,57.808407,6.1588306,102.08617,maize,Cluster 0
106,67,49,20,25.621717,66.50416,6.047907,105.46547,maize,Cluster 0
107,76,55,24,25.191925,66.69029,5.9136643,78.0664,maize,Cluster 0
108,92,54,18,20.416832,62.55425,5.8554425,65.277985,maize,Cluster 0
109,62,50,21,24.921621,66.78628,5.750255,109.216225,maize,Cluster 0
110,88,56,20,23.31689,73.454155,5.8526073,94.29713,maize,Cluster 0
111,62,60,23,24.840168,68.35846,6.472523,74.05475,maize,Cluster 0
112,92,48,16,22.275267,58.84016,6.9670577,63.870205,maize,Cluster 0
113,61,48,16,18.877514,65.76816,6.082974,94.761894,maize,Cluster 2
114,91,46,18,25.190086,60.20017,5.9190454,72.12376,maize,Cluster 0
115,96,38,23,18.254053,55.282204,6.2047477,63.723583,maize,Cluster 0
116,70,51,19,24.612911,70.416245,6.600827,104.16261,maize,Cluster 0
117,93,49,17,25.142061,65.26185,6.021902,76.68456,maize,Cluster 0
118,76,57,20,23.093481,60.115936,6.0335503,65.49731,maize,Cluster 0
119,81,57,23,18.050337,62.89367,6.288868,84.23614,maize,Cluster 0
120,83,56,24,24.932158,73.80435,6.550564,79.74078,maize,Cluster 0
121,66,39,19,18.1471,71.09445,5.5732865,88.07754,maize,Cluster 0
122,84,35,19,18.283623,66.65953,6.8291993,80.97573,maize,Cluster 0
123,87,41,17,18.833445,58.75082,5.716223,79.75329,maize,Cluster 0
124,95,53,25,25.718958,67.22191,5.5499024,74.51491,maize,Cluster 0
125,65,53,15,25.337976,68.49836,6.5862446,96.4638,maize,Cluster 0
126,60,46,18,23.891146,57.48776,5.893093,102.83019,maize,Cluster 2
127,98,37,21,21.535742,71.509056,5.918264,102.48529,maize,Cluster 0
128,78,35,23,23.089748,63.104595,5.5886507,70.43474,maize,Cluster 0
129,80,37,20,25.617073,63.471176,6.5764184,108.830376,maize,Cluster 0
130,95,55,24,21.445269,63.162155,6.1780562,65.88951,maize,Cluster 0
131,100,46,25,18.518167,55.53128,6.6419063,90.98805,maize,Cluster 0
132,94,41,20,22.535105,67.99258,6.4890404,64.40866,maize,Cluster 0
133,69,37,24,23.020384,61.89472,5.6803613,63.038433,maize,Cluster 0
134,87,35,20,24.893646,65.61419,6.6254044,87.92981,maize,Cluster 0
135,75,35,20,25.771751,74.08911,6.524478,107.493195,maize,Cluster 0
136,90,49,19,19.398518,62.357506,5.6962056,60.951973,maize,Cluster 0
137,61,58,22,21.541563,59.64024,6.8039317,109.75154,maize,Cluster 0
138,79,35,17,23.79746,74.82914,6.2527976,91.763374,maize,Cluster 0
139,99,45,16,18.980272,74.52601,6.0927258,94.2625,maize,Cluster 0
140,100,48,23,24.108593,73.13113,6.23433,71.07562,maize,Cluster 0
141,94,50,19,24.794708,70.04557,5.72258,76.7286,maize,Cluster 0
142,91,54,16,21.631628,60.277664,6.4306164,69.21803,maize,Cluster 0
143,75,39,21,25.375488,57.210255,5.9839525,101.70043,maize,Cluster 0
144,94,49,22,22.217382,72.85463,6.8016386,106.621315,maize,Cluster 0
145,70,51,19,20.58314,69.00129,6.4999366,66.29391,maize,Cluster 0
146,67,38,15,24.875029,68.742485,6.2655644,91.26057,maize,Cluster 0
147,100,52,24,20.037283,56.356068,6.7273035,109.02414,maize,Cluster 0
148,88,45,21,25.952633,61.890823,6.3252354,99.57981,maize,Cluster 0
149,70,45,25,19.288898,65.470505,6.807488,71.319534,maize,Cluster 0
150,67,51,24,20.579819,65.34584,6.671086,78.34605,maize,Cluster 0
151,91,58,23,24.714176,56.734264,6.6487255,88.45362,maize,Cluster 0
152,86,38,22,20.27317,63.91282,6.439072,62.503517,maize,Cluster 0
153,83,52,22,18.41933,64.2358,6.4744763,76.413124,maize,Cluster 0
154,97,53,17,23.391281,61.74427,5.871648,107.31982,maize,Cluster 0
155,71,37,17,19.849394,61.245,5.730617,100.76892,maize,Cluster 0
156,64,44,22,21.869274,61.91045,5.85044,107.268196,maize,Cluster 0
157,86,45,25,22.805603,56.50769,5.79165,101.595276,maize,Cluster 0
158,84,54,15,19.078148,69.02299,6.7400007,80.72516,maize,Cluster 0
159,71,52,19,22.02721,65.3555,6.2724175,83.7328,maize,Cluster 0
160,66,48,24,23.805462,59.24538,5.715209,89.962204,maize,Cluster 0
161,65,58,21,18.525108,69.027626,5.7734547,88.10234,maize,Cluster 0
162,68,46,17,23.50298,61.32026,5.5841713,64.777916,maize,Cluster 0
163,89,54,15,26.549864,72.89188,5.787268,73.33636,maize,Cluster 0
164,68,59,23,19.295633,69.63481,5.7759776,83.210304,maize,Cluster 0
165,75,58,25,20.689,59.437534,6.864794,103.651436,maize,Cluster 0
166,86,54,23,19.32666,68.03449,6.19236,84.22969,maize,Cluster 0
167,82,44,23,24.605322,73.588684,6.636803,96.59195,maize,Cluster 0
168,95,35,16,22.273737,59.52193,5.826427,67.96705,maize,Cluster 0
169,77,37,24,25.701967,61.334503,6.960358,83.207115,maize,Cluster 0
170,93,40,19,19.201294,68.305786,6.112751,87.85092,maize,Cluster 0
171,77,59,15,21.701815,60.474705,6.708447,95.71388,maize,Cluster 0
172,69,52,22,20.517168,59.212357,5.5615106,67.61014,maize,Cluster 0
173,70,55,20,23.303553,73.62548,5.8732424,97.59081,maize,Cluster 0
174,94,35,17,24.254745,55.6471,6.995844,64.23846,maize,Cluster 0
175,61,45,17,24.863749,65.742004,5.7148,75.82271,maize,Cluster 0
176,69,40,24,22.62651,65.77473,6.7807364,88.17251,maize,Cluster 0
177,93,37,25,18.041855,60.614944,5.513698,104.23216,maize,Cluster 0
178,63,43,15,23.262377,72.33125,5.798424,67.10225,maize,Cluster 0
179,74,36,15,22.883308,71.59722,6.352472,67.727776,maize,Cluster 0
180,65,47,23,25.974823,69.36385,6.8225865,103.22342,maize,Cluster 0
181,92,47,15,26.14384,66.205696,6.6554265,107.23614,maize,Cluster 0
182,73,52,17,18.661161,61.553272,6.121294,75.03248,maize,Cluster 0
183,87,35,21,25.107874,55.97733,5.79077,78.160774,maize,Cluster 0
184,66,59,22,23.338446,59.245808,6.474443,105.008316,maize,Cluster 0
185,94,39,20,25.082397,65.92196,6.4551167,62.49191,maize,Cluster 0
186,73,52,17,25.367683,72.520546,6.606984,107.912415,maize,Cluster 0
187,70,47,24,25.34217,63.31802,6.3305545,74.52082,maize,Cluster 0
188,82,36,19,25.009333,67.81657,6.528631,62.913593,maize,Cluster 0
189,74,35,16,18.667467,71.51647,5.7216673,69.93293,maize,Cluster 0
190,74,60,19,20.379997,63.7385,6.6442056,108.50544,maize,Cluster 0
191,88,45,20,18.093002,72.610245,6.3766513,78.96159,maize,Cluster 0
192,63,37,16,26.169859,71.96246,6.2470403,79.84925,maize,Cluster 0
193,63,58,24,18.653967,61.378796,6.65673,93.62039,maize,Cluster 0
194,87,49,19,26.074701,59.371475,6.2048016,85.75693,maize,Cluster 0
195,93,49,21,18.928518,72.800865,6.15886,82.34163,maize,Cluster 0
196,95,51,24,23.305468,63.24648,6.385684,108.7603,maize,Cluster 0
197,79,45,23,18.748266,62.498783,6.4178205,70.23402,maize,Cluster 0
198,72,51,20,19.742134,59.662632,6.3812017,65.50861,maize,Cluster 0
199,82,35,24,25.730444,70.74739,6.877869,98.73772,maize,Cluster 0
200,2,67,18,17.136929,20.595417,5.6859717,128.25687,kidney beans,Cluster 2
201,39,69,24,19.634743,18.907057,5.759237,106.35982,kidney beans,Cluster 2
202,30,65,16,22.913502,21.33953,5.873172,109.225555,kidney beans,Cluster 2
203,23,55,18,16.433403,24.24046,5.9266768,140.37178,kidney beans,Cluster 2
204,13,75,23,22.139746,23.02251,5.9556165,76.64128,kidney beans,Cluster 2
205,8,80,18,17.848066,18.77622,5.9499493,143.09842,kidney beans,Cluster 2
206,23,74,20,19.88394,20.315641,5.789214,60.919746,kidney beans,Cluster 2
207,4,58,15,19.325096,23.333479,5.5810213,104.7784,kidney beans,Cluster 2
208,39,56,24,18.4167,23.428299,5.689858,132.9801,kidney beans,Cluster 2
209,27,71,16,21.811676,23.205912,5.7941585,130.0608,kidney beans,Cluster 2
210,25,64,21,19.727026,18.28173,5.7481904,143.76309,kidney beans,Cluster 2
211,7,70,19,17.15433,19.870707,5.566523,87.9967,kidney beans,Cluster 2
212,16,55,18,19.622078,18.67171,5.8094196,144.15674,kidney beans,Cluster 2
213,30,72,22,21.63149,21.179197,5.887263,134.36499,kidney beans,Cluster 2
214,18,74,15,16.065228,18.724796,5.9981246,88.06639,kidney beans,Cluster 2
215,6,65,22,20.611622,24.363142,5.7927446,69.638336,kidney beans,Cluster 2
216,20,69,16,21.424511,20.396597,5.91229,116.52069,kidney beans,Cluster 2
217,15,77,23,19.070961,21.210922,5.788387,86.21918,kidney beans,Cluster 2
218,35,72,23,21.188532,19.634386,5.728233,137.19487,kidney beans,Cluster 2
219,3,58,25,23.04291,22.42611,5.83394,108.36843,kidney beans,Cluster 2
220,29,71,17,20.653759,23.105387,5.967533,67.71769,kidney beans,Cluster 2
221,32,77,23,18.09551,18.293184,5.6250963,144.79024,kidney beans,Cluster 2
222,14,56,15,18.237757,21.076433,5.515615,69.44952,kidney beans,Cluster 2
223,1,62,20,17.481897,18.825197,5.954665,121.94014,kidney beans,Cluster 2
224,24,55,23,19.919178,21.473242,5.7464476,82.68555,kidney beans,Cluster 2
225,37,74,16,20.275146,23.235361,5.8773475,139.75215,kidney beans,Cluster 2
226,36,63,25,15.773702,19.230316,5.979974,108.34414,kidney beans,Cluster 2
227,23,61,24,16.711706,19.176514,5.635994,96.77286,kidney beans,Cluster 2
228,21,66,18,17.661482,18.153027,5.635232,100.67117,kidney beans,Cluster 2
229,14,72,20,18.506927,23.616701,5.6792245,87.05133,kidney beans,Cluster 2
230,12,79,19,24.513248,20.815277,5.670063,64.19498,kidney beans,Cluster 2
231,17,58,17,18.87615,24.540382,5.724242,105.41205,kidney beans,Cluster 2
232,28,59,23,21.59343,20.318712,5.811314,61.13872,kidney beans,Cluster 2
233,18,59,15,20.123734,24.452026,5.7834253,106.1582,kidney beans,Cluster 2
234,26,68,18,15.435461,18.374779,5.6078086,139.0302,kidney beans,Cluster 2
235,1,70,16,22.642368,21.593962,5.9469995,122.3886,kidney beans,Cluster 2
236,6,67,16,21.985607,24.873049,5.852047,129.56506,kidney beans,Cluster 2
237,29,77,17,20.530527,18.092241,5.824091,120.45093,kidney beans,Cluster 2
238,35,80,20,15.786014,21.145441,5.5029993,95.17028,kidney beans,Cluster 2
239,8,59,24,19.636536,19.687511,5.82165,96.65889,kidney beans,Cluster 2
240,10,66,17,20.573412,19.752022,5.711439,87.87869,kidney beans,Cluster 2
241,29,73,18,20.160805,24.842075,5.5149274,138.2362,kidney beans,Cluster 2
242,33,80,18,21.539892,24.253862,5.996161,120.69131,kidney beans,Cluster 2
243,34,59,22,15.538348,23.755602,5.6954226,107.385056,kidney beans,Cluster 2
244,16,56,18,19.918531,20.700998,5.833011,108.643456,kidney beans,Cluster 2
245,27,69,17,20.769522,18.931469,5.568457,109.01937,kidney beans,Cluster 2
246,9,76,20,23.461683,23.221977,5.645436,95.84254,kidney beans,Cluster 2
247,19,79,17,24.321167,21.027868,5.8211946,60.275524,kidney beans,Cluster 2
248,29,68,18,20.12574,24.969698,5.659255,100.04972,kidney beans,Cluster 2
249,10,58,24,21.806196,18.570866,5.945466,125.09727,kidney beans,Cluster 2
250,20,77,19,19.522263,24.926071,5.9511776,113.33402,kidney beans,Cluster 2
251,19,59,17,17.000677,19.907906,5.52088,103.29264,kidney beans,Cluster 2
252,8,74,18,16.787914,24.968817,5.57841,75.45328,kidney beans,Cluster 2
253,32,60,21,24.849062,22.894646,5.6081653,62.21292,kidney beans,Cluster 2
254,6,68,20,16.517834,20.455559,5.609435,98.77794,kidney beans,Cluster 2
255,10,75,22,18.153002,19.38602,5.5092955,107.690796,kidney beans,Cluster 2
256,5,62,24,23.188644,22.310455,5.9020333,63.382088,kidney beans,Cluster 2
257,40,69,17,23.380026,21.988794,5.7441177,87.66898,kidney beans,Cluster 2
258,31,62,20,18.358923,19.377033,5.7171435,138.41476,kidney beans,Cluster 2
259,19,63,16,19.259754,20.51347,5.5426903,94.953354,kidney beans,Cluster 2
260,0,64,23,22.954582,24.035532,5.858618,107.73154,kidney beans,Cluster 2
261,23,71,22,20.120043,22.898457,5.6188445,104.62521,kidney beans,Cluster 2
262,1,65,16,21.140114,22.718235,5.6066203,141.60567,kidney beans,Cluster 2
263,7,79,25,24.923601,18.225908,5.5821786,62.708916,kidney beans,Cluster 2
264,20,65,16,15.330426,24.915068,5.5650353,135.33156,kidney beans,Cluster 2
265,32,61,19,18.810972,21.27833,5.8896146,125.084915,kidney beans,Cluster 2
266,4,74,15,23.442606,22.77256,5.9341364,107.41373,kidney beans,Cluster 2
267,11,57,21,22.835203,18.972675,5.6835485,63.592766,kidney beans,Cluster 2
268,20,63,15,24.903582,22.275127,5.708366,146.47272,kidney beans,Cluster 2
269,27,65,16,23.787096,24.356794,5.9481645,119.64044,kidney beans,Cluster 2
270,4,73,21,22.055923,19.603792,5.774755,126.72654,kidney beans,Cluster 2
271,36,63,15,18.87493,20.182383,5.9722915,134.18117,kidney beans,Cluster 2
272,1,76,23,18.623287,23.024103,5.5321007,135.3378,kidney beans,Cluster 2
273,36,55,15,23.008848,18.86881,5.669561,100.118614,kidney beans,Cluster 2
274,17,80,24,19.331627,24.13995,5.655727,68.512535,kidney beans,Cluster 2
275,13,63,18,16.244692,21.357939,5.591704,66.970535,kidney beans,Cluster 2
276,26,78,24,17.916523,24.908146,5.932323,69.14681,kidney beans,Cluster 2
277,17,69,18,15.467893,21.437807,5.8242083,88.88796,kidney beans,Cluster 2
278,1,78,16,17.061045,23.772015,5.8644295,81.834206,kidney beans,Cluster 2
279,32,76,24,21.32776,18.48523,5.8667445,109.101326,kidney beans,Cluster 2
280,24,75,25,23.909101,20.746193,5.7061987,81.60211,kidney beans,Cluster 2
281,13,59,15,23.897568,22.74379,5.940547,112.661644,kidney beans,Cluster 2
282,21,68,23,22.98667,20.579407,5.9167795,143.85849,kidney beans,Cluster 2
283,15,60,24,21.351357,22.912449,5.7790904,146.45486,kidney beans,Cluster 2
284,38,70,17,24.163845,19.279078,5.82738,116.73243,kidney beans,Cluster 2
285,1,73,15,24.628351,18.183252,5.514234,149.74411,kidney beans,Cluster 2
286,39,59,17,21.022133,24.938963,5.662699,124.61185,kidney beans,Cluster 2
287,16,60,17,17.308445,20.01731,5.863904,115.19924,kidney beans,Cluster 2
288,15,59,24,23.825768,24.75485,5.62469,84.64143,kidney beans,Cluster 2
289,13,66,19,19.306072,23.963629,5.591561,129.34494,kidney beans,Cluster 2
290,7,64,18,16.037685,22.331959,5.9763126,130.39008,kidney beans,Cluster 2
291,39,58,23,19.185728,20.833982,5.669236,80.15293,kidney beans,Cluster 2
292,5,73,15,19.928896,21.799921,5.9619346,64.026405,kidney beans,Cluster 2
293,6,80,24,19.563765,24.673851,5.690066,139.2921,kidney beans,Cluster 2
294,6,71,20,18.313576,24.329916,5.6983714,76.14154,kidney beans,Cluster 2
295,14,78,16,20.109938,23.223238,5.5950317,73.36386,kidney beans,Cluster 2
296,11,71,16,23.605066,21.905396,5.5259047,100.59787,kidney beans,Cluster 2
297,29,55,18,19.731369,24.894873,5.8194036,84.06354,kidney beans,Cluster 2
298,15,77,17,20.9341,21.1893,5.562202,133.19144,kidney beans,Cluster 2
299,6,73,20,18.782263,20.247683,5.630665,104.25707,kidney beans,Cluster 2
300,56,65,18,29.4844,63.199154,7.454532,71.89091,black gram,Cluster 0
301,35,71,17,26.734339,68.14,7.040056,67.15096,black gram,Cluster 2
302,51,70,20,26.272743,62.288147,7.4186506,70.23208,black gram,Cluster 2
303,28,57,25,34.036793,67.211136,6.501869,73.23573,black gram,Cluster 2
304,24,76,19,28.03644,65.06602,6.814411,72.49508,black gram,Cluster 2
305,29,77,15,28.814608,65.33538,7.581443,62.262424,black gram,Cluster 2
306,60,71,21,34.036194,64.28791,7.741419,66.85511,black gram,Cluster 0
307,49,78,20,33.864292,61.570724,6.5735316,68.021996,black gram,Cluster 2
308,34,70,19,32.84213,68.68401,7.543804,73.67166,black gram,Cluster 2
309,48,64,25,27.100533,63.360855,6.5408206,73.849495,black gram,Cluster 2
310,42,76,25,25.658424,61.182358,7.224059,69.28608,black gram,Cluster 2
311,37,55,16,32.34744,66.614525,7.5513644,64.55882,black gram,Cluster 2
312,60,64,24,29.58949,68.32177,6.928899,67.53021,black gram,Cluster 0
313,42,63,19,30.912195,68.79427,7.747775,66.638306,black gram,Cluster 2
314,32,63,22,28.127878,64.20978,6.706506,70.86341,black gram,Cluster 2
315,39,77,17,30.085453,69.34812,6.6682386,67.13674,black gram,Cluster 2
316,52,74,20,31.743795,62.51008,7.332375,68.97098,black gram,Cluster 2
317,48,65,21,27.813269,62.504604,7.596802,69.755554,black gram,Cluster 2
318,55,58,19,32.887337,64.594574,7.706509,71.50569,black gram,Cluster 2
319,33,73,15,29.363586,64.98743,7.366543,61.912086,black gram,Cluster 2
320,24,78,20,27.825928,67.58619,6.919244,74.0123,black gram,Cluster 2
321,21,70,25,28.495388,60.448483,7.1877217,74.915596,black gram,Cluster 2
322,47,79,23,27.742748,68.53997,7.0758862,71.786156,black gram,Cluster 2
323,34,62,21,30.415884,67.66324,6.7444115,63.02473,black gram,Cluster 2
324,21,75,23,27.32542,69.09048,6.726469,61.19251,black gram,Cluster 2
325,46,58,15,30.284966,61.69295,6.628265,65.62859,black gram,Cluster 2
326,48,73,21,28.568407,61.532787,7.127064,63.497265,black gram,Cluster 2
327,22,72,20,25.365862,66.63797,7.5386314,65.81656,black gram,Cluster 2
328,23,76,18,34.946617,65.26774,7.162358,70.14152,black gram,Cluster 2
329,45,80,21,25.097374,67.72838,6.8594093,74.6165,black gram,Cluster 2
330,59,68,22,32.476482,64.34849,7.397191,65.82046,black gram,Cluster 0
331,28,68,20,33.86351,68.59232,6.8802457,69.244644,black gram,Cluster 2
332,26,76,24,25.198578,60.373325,6.581313,70.88787,black gram,Cluster 2
333,25,55,18,31.776817,69.01853,7.2969723,61.46893,black gram,Cluster 2
334,26,72,17,34.898148,63.599487,6.9729767,64.727974,black gram,Cluster 2
335,31,60,22,31.741055,68.635254,7.2411485,62.306175,black gram,Cluster 2
336,46,62,16,27.16159,66.76017,6.9200907,69.85112,black gram,Cluster 2
337,35,56,24,26.237732,67.885216,7.504608,73.58664,black gram,Cluster 2
338,40,56,23,30.201572,60.06535,7.152272,66.37171,black gram,Cluster 2
339,27,68,22,31.558464,67.83564,7.137005,74.869606,black gram,Cluster 2
340,25,79,17,29.678925,69.08546,6.8080416,65.66437,black gram,Cluster 2
341,48,66,19,27.053652,67.70175,7.393632,60.469383,black gram,Cluster 2
342,41,69,16,34.63881,61.38598,7.6995068,72.431694,black gram,Cluster 2
343,56,79,19,33.394386,62.936928,6.602888,63.57446,black gram,Cluster 0
344,36,75,16,28.840792,63.372307,6.7344475,70.25497,black gram,Cluster 2
345,38,64,24,31.493383,63.056366,6.521218,71.48327,black gram,Cluster 2
346,53,77,21,25.549606,63.954254,7.7073326,63.183052,black gram,Cluster 0
347,21,80,18,34.37329,69.693665,6.596719,70.27185,black gram,Cluster 2
348,25,60,17,34.600826,63.11297,7.4036236,60.417904,black gram,Cluster 2
349,28,56,20,29.434639,64.94329,7.517097,72.178185,black gram,Cluster 2
350,46,77,22,29.10713,67.90578,7.176208,67.83346,black gram,Cluster 2
351,44,65,19,28.57006,65.71766,6.5939617,70.08665,black gram,Cluster 2
